waypoint1	waypoint2	distance_m	duration_s
Hanford Site, Benton County, WA	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	4548872	147740
Hoover Dam, NV	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2925806	92712
Liberty Bell, 6th Street, Philadelphia, PA	The Alamo, Alamo Plaza, San Antonio, TX	2800673	90492
Fort Snelling, Tower Avenue, Saint Paul, MN	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3156193	102831
Mount Vernon, Fairfax County, Virginia	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2868913	94308
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	The Breakers, Ochre Point Avenue, Newport, RI	2700531	92033
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Toltec Mounds, Scott, AR	1872657	59896
Mount Vernon, Fairfax County, Virginia	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	829832	28982
Carlsbad Caverns National Park, Carlsbad, NM	Craters of the Moon National Monument & Preserve, Arco, ID	1875346	66294
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3794883	121470
Bryce Canyon National Park, Hwy 63, Bryce, UT	Ashfall Fossil Bed, Royal, NE	1693953	58524
Lost World Caverns, Lewisburg, WV	Statue of Liberty, Liberty Island, NYC, NY	770142	25955
Craters of the Moon National Monument & Preserve, Arco, ID	Congress Hall, Congress Place, Cape May, NJ 08204	3853634	125539
Hanford Site, Benton County, WA	New Castle Historic District, Delaware	4363313	142580
San Andreas Fault, San Benito County, CA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	3667715	117791
Toltec Mounds, Scott, AR	Glacier National Park, West Glacier, MT	3041488	98106
USS Alabama, Battleship Parkway, Mobile, AL	Maryland State House, 100 State Cir, Annapolis, MD 21401	1613845	52212
Lost World Caverns, Lewisburg, WV	Fort Sumter National Monument, Sullivan's Island, SC	690404	24395
Toltec Mounds, Scott, AR	Shelburne Farms, Harbor Road, Shelburne, VT	2274624	78824
Maryland State House, 100 State Cir, Annapolis, MD 21401	New Castle Historic District, Delaware	100318	4328
Toltec Mounds, Scott, AR	Ashfall Fossil Bed, Royal, NE	1276957	43608
Mount Vernon, Fairfax County, Virginia	Olympia Entertainment, Woodward Avenue, Detroit, MI	869309	29349
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Columbia River Gorge National Scenic Area, Oregon	1747344	56909
USS Alabama, Battleship Parkway, Mobile, AL	Graceland, Elvis Presley Boulevard, Memphis, TN	582585	21366
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Fort Sumter National Monument, Sullivan's Island, SC	1885895	62411
Lost World Caverns, Lewisburg, WV	French Quarter, New Orleans, LA	1441808	46167
USS Alabama, Battleship Parkway, Mobile, AL	Olympia Entertainment, Woodward Avenue, Detroit, MI	1585831	51531
Mount Vernon, Fairfax County, Virginia	Acadia National Park, Maine	1159086	41873
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	The Breakers, Ochre Point Avenue, Newport, RI	2264052	77724
Acadia National Park, Maine	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2293420	77193
Hoover Dam, NV	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	2972025	94061
Hoover Dam, NV	Ashfall Fossil Bed, Royal, NE	2042375	68608
Fort Sumter National Monument, Sullivan's Island, SC	French Quarter, New Orleans, LA	1223403	39567
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Yellowstone National Park, WY 82190	1152968	43043
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	3143831	103818
Wright Brothers National Memorial Visitor Center, Manteo, NC	Gateway Arch, Washington Avenue, St Louis, MO	1619422	53683
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	553214	19824
Lost World Caverns, Lewisburg, WV	Craters of the Moon National Monument & Preserve, Arco, ID	3375573	109217
Statue of Liberty, Liberty Island, NYC, NY	Columbia River Gorge National Scenic Area, Oregon	4503584	145711
Terrace Hill, Grand Avenue, Des Moines, IA	Yellowstone National Park, WY 82190	1736070	60164
Hanford Site, Benton County, WA	Taliesin, County Road C, Spring Green, Wisconsin	2865645	92549
The Alamo, Alamo Plaza, San Antonio, TX	Ashfall Fossil Bed, Royal, NE	1582862	53486
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Statue of Liberty, Liberty Island, NYC, NY	1993400	64754
Ashfall Fossil Bed, Royal, NE	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	957962	33654
San Andreas Fault, San Benito County, CA	The Alamo, Alamo Plaza, San Antonio, TX	2614335	83174
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Wright Brothers National Memorial Visitor Center, Manteo, NC	2070353	68518
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Acadia National Park, Maine	370453	16119
Lost World Caverns, Lewisburg, WV	Olympia Entertainment, Woodward Avenue, Detroit, MI	751740	27138
Toltec Mounds, Scott, AR	Mount Vernon, Fairfax County, Virginia	1628719	53196
Cape Canaveral, FL	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1787806	57333
Hanford Site, Benton County, WA	Craters of the Moon National Monument & Preserve, Arco, ID	804532	27912
Ashfall Fossil Bed, Royal, NE	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1348425	46160
Shelburne Farms, Harbor Road, Shelburne, VT	Olympia Entertainment, Woodward Avenue, Detroit, MI	1075881	37603
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Statue of Liberty, Liberty Island, NYC, NY	2772422	91153
Lost World Caverns, Lewisburg, WV	Glacier National Park, West Glacier, MT	3442230	115082
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Craters of the Moon National Monument & Preserve, Arco, ID	2830185	93012
Hoover Dam, NV	Shelburne Farms, Harbor Road, Shelburne, VT	4286375	141744
Maryland State House, 100 State Cir, Annapolis, MD 21401	Taliesin, County Road C, Spring Green, Wisconsin	1461552	50064
Liberty Bell, 6th Street, Philadelphia, PA	Craters of the Moon National Monument & Preserve, Arco, ID	3705218	120341
Lost World Caverns, Lewisburg, WV	Fort Snelling, Tower Avenue, Saint Paul, MN	1626905	54854
Terrace Hill, Grand Avenue, Des Moines, IA	Statue of Liberty, Liberty Island, NYC, NY	1787020	59289
Hanford Site, Benton County, WA	Ashfall Fossil Bed, Royal, NE	2197917	74421
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	White House, Pennsylvania Avenue Northwest, Washington, DC	809619	28300
Taliesin, County Road C, Spring Green, Wisconsin	Columbia River Gorge National Scenic Area, Oregon	3013796	97923
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Statue of Liberty, Liberty Island, NYC, NY	192047	7989
Toltec Mounds, Scott, AR	French Quarter, New Orleans, LA	670161	24369
USS Constitution, Boston, MA	Acadia National Park, Maine	443026	16367
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Columbia River Gorge National Scenic Area, Oregon	3571513	116405
San Andreas Fault, San Benito County, CA	Ashfall Fossil Bed, Royal, NE	2748296	91875
Toltec Mounds, Scott, AR	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2503709	84931
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Bryce Canyon National Park, Hwy 63, Bryce, UT	1828713	63879
Wright Brothers National Memorial Visitor Center, Manteo, NC	Bryce Canyon National Park, Hwy 63, Bryce, UT	3890985	126573
Bryce Canyon National Park, Hwy 63, Bryce, UT	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2651338	85582
Toltec Mounds, Scott, AR	Vicksburg National Military Park, Clay Street, Vicksburg, MS	342172	13312
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2168326	72590
Toltec Mounds, Scott, AR	Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	612075	20648
Mount Vernon, Fairfax County, Virginia	Shelburne Farms, Harbor Road, Shelburne, VT	838747	31297
Cape Canaveral, FL	Congress Hall, Congress Place, Cape May, NJ 08204	1697361	55802
Maryland State House, 100 State Cir, Annapolis, MD 21401	Bryce Canyon National Park, Hwy 63, Bryce, UT	3616879	118534
Maryland State House, 100 State Cir, Annapolis, MD 21401	Statue of Liberty, Liberty Island, NYC, NY	346519	12361
Maryland State House, 100 State Cir, Annapolis, MD 21401	Acadia National Park, Maine	1120643	39839
Liberty Bell, 6th Street, Philadelphia, PA	Carlsbad Caverns National Park, Carlsbad, NM	3152378	105074
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Columbia River Gorge National Scenic Area, Oregon	4663563	150807
Toltec Mounds, Scott, AR	Cape Canaveral, FL	1567778	51965
White House, Pennsylvania Avenue Northwest, Washington, DC	The Alamo, Alamo Plaza, San Antonio, TX	2579805	82868
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Bryce Canyon National Park, Hwy 63, Bryce, UT	2718623	88932
New Castle Historic District, Delaware	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1794302	58751
Maryland State House, 100 State Cir, Annapolis, MD 21401	Fort Sumter National Monument, Sullivan's Island, SC	911048	29592
Pikes Peak, Colorado	Olympia Entertainment, Woodward Avenue, Detroit, MI	2190092	71624
Toltec Mounds, Scott, AR	Statue of Liberty, Liberty Island, NYC, NY	1983218	65145
Olympia Entertainment, Woodward Avenue, Detroit, MI	French Quarter, New Orleans, LA	1716724	55770
Hoover Dam, NV	Gateway Arch, Washington Avenue, St Louis, MO	2550203	80416
Hanford Site, Benton County, WA	White House, Pennsylvania Avenue Northwest, Washington, DC	4241452	137764
Mount Vernon, Fairfax County, Virginia	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1638902	52805
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Fort Snelling, Tower Avenue, Saint Paul, MN	2146870	73185
Lost World Caverns, Lewisburg, WV	The Alamo, Alamo Plaza, San Antonio, TX	2277257	72943
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	The Alamo, Alamo Plaza, San Antonio, TX	652795	22214
Wright Brothers National Memorial Visitor Center, Manteo, NC	New Castle Historic District, Delaware	422162	17408
Fort Sumter National Monument, Sullivan's Island, SC	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1080930	36445
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Fort Sumter National Monument, Sullivan's Island, SC	1407416	47697
New Castle Historic District, Delaware	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4651287	150314
Lost World Caverns, Lewisburg, WV	White House, Pennsylvania Avenue Northwest, Washington, DC	416487	13963
Pikes Peak, Colorado	Fort Sumter National Monument, Sullivan's Island, SC	2763349	91159
San Andreas Fault, San Benito County, CA	Pikes Peak, Colorado	2028101	70650
Hanford Site, Benton County, WA	Fort Snelling, Tower Avenue, Saint Paul, MN	2476769	78773
Hanford Site, Benton County, WA	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	3537439	115348
Maryland State House, 100 State Cir, Annapolis, MD 21401	Columbia River Gorge National Scenic Area, Oregon	4394752	141872
USS Alabama, Battleship Parkway, Mobile, AL	Mount Vernon, Fairfax County, Virginia	1538446	49634
Taliesin, County Road C, Spring Green, Wisconsin	Bryce Canyon National Park, Hwy 63, Bryce, UT	2408644	77823
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Olympia Entertainment, Woodward Avenue, Detroit, MI	1245101	40896
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Grand Canyon National Park, Arizona	1651973	56937
Olympia Entertainment, Woodward Avenue, Detroit, MI	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	625402	22359
Craters of the Moon National Monument & Preserve, Arco, ID	Gateway Arch, Washington Avenue, St Louis, MO	2387912	77468
Maryland State House, 100 State Cir, Annapolis, MD 21401	Gateway Arch, Washington Avenue, St Louis, MO	1357038	46244
Congress Hall, Congress Place, Cape May, NJ 08204	Statue of Liberty, Liberty Island, NYC, NY	254433	9322
Graceland, Elvis Presley Boulevard, Memphis, TN	Columbia River Gorge National Scenic Area, Oregon	3466308	113158
Terrace Hill, Grand Avenue, Des Moines, IA	Lost World Caverns, Lewisburg, WV	1444979	48126
Mount Vernon, Fairfax County, Virginia	San Andreas Fault, San Benito County, CA	4600219	148058
Wright Brothers National Memorial Visitor Center, Manteo, NC	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1641490	55760
Glacier National Park, West Glacier, MT	Grand Canyon National Park, Arizona	1671390	57638
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Liberty Bell, 6th Street, Philadelphia, PA	2722541	89251
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Glacier National Park, West Glacier, MT	2204537	75486
Yellowstone National Park, WY 82190	Ashfall Fossil Bed, Royal, NE	1235995	47419
Cape Canaveral, FL	Olympia Entertainment, Woodward Avenue, Detroit, MI	1869664	62291
Ashfall Fossil Bed, Royal, NE	Grand Canyon National Park, Arizona	1845322	64321
Pikes Peak, Colorado	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1765180	59041
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Acadia National Park, Maine	3512958	116635
Carlsbad Caverns National Park, Carlsbad, NM	Pikes Peak, Colorado	922977	35011
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	3254574	107170
Hoover Dam, NV	Olympia Entertainment, Woodward Avenue, Detroit, MI	3287993	104894
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	199119	8955
Wright Brothers National Memorial Visitor Center, Manteo, NC	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1179764	41494
Pikes Peak, Colorado	Congress Hall, Congress Place, Cape May, NJ 08204	2949957	99167
USS Constitution, Boston, MA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1863224	61974
Fort Sumter National Monument, Sullivan's Island, SC	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	363482	13635
Toltec Mounds, Scott, AR	New Castle Historic District, Delaware	1783543	59257
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Columbia River Gorge National Scenic Area, Oregon	3726654	119687
Mount Vernon, Fairfax County, Virginia	Statue of Liberty, Liberty Island, NYC, NY	386403	14398
Mount Vernon, Fairfax County, Virginia	Graceland, Elvis Presley Boulevard, Memphis, TN	1414540	45977
Statue of Liberty, Liberty Island, NYC, NY	Fort Snelling, Tower Avenue, Saint Paul, MN	1934123	64833
Taliesin, County Road C, Spring Green, Wisconsin	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3320261	105749
Yellowstone National Park, WY 82190	Fort Snelling, Tower Avenue, Saint Paul, MN	1822887	63288
White House, Pennsylvania Avenue Northwest, Washington, DC	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1114274	36642
Graceland, Elvis Presley Boulevard, Memphis, TN	Bryce Canyon National Park, Hwy 63, Bryce, UT	2504346	83235
Shelburne Farms, Harbor Road, Shelburne, VT	New Castle Historic District, Delaware	751134	27927
Wright Brothers National Memorial Visitor Center, Manteo, NC	Acadia National Park, Maine	1492775	55252
Terrace Hill, Grand Avenue, Des Moines, IA	Fort Snelling, Tower Avenue, Saint Paul, MN	394558	12643
Pikes Peak, Colorado	Ashfall Fossil Bed, Royal, NE	948929	35456
Mount Vernon, Fairfax County, Virginia	Cape Canaveral, FL	1373791	43281
Cape Canaveral, FL	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4607140	147726
Acadia National Park, Maine	Ashfall Fossil Bed, Royal, NE	2988611	101499
USS Constitution, Boston, MA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2347308	77140
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Gateway Arch, Washington Avenue, St Louis, MO	1957477	64076
The Breakers, Ochre Point Avenue, Newport, RI	Acadia National Park, Maine	561691	21320
Lost World Caverns, Lewisburg, WV	Pikes Peak, Colorado	2378452	78521
White House, Pennsylvania Avenue Northwest, Washington, DC	Fort Sumter National Monument, Sullivan's Island, SC	854668	27805
Statue of Liberty, Liberty Island, NYC, NY	Grand Canyon National Park, Arizona	3838968	124490
USS Alabama, Battleship Parkway, Mobile, AL	USS Constitution, Boston, MA	2267282	75766
The Alamo, Alamo Plaza, San Antonio, TX	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1800120	58441
New Castle Historic District, Delaware	Olympia Entertainment, Woodward Avenue, Detroit, MI	969661	33480
Terrace Hill, Grand Avenue, Des Moines, IA	Fort Sumter National Monument, Sullivan's Island, SC	1936485	62907
Bryce Canyon National Park, Hwy 63, Bryce, UT	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2375844	76706
Liberty Bell, 6th Street, Philadelphia, PA	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2943788	96463
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Graceland, Elvis Presley Boulevard, Memphis, TN	1905830	63373
Mount Vernon, Fairfax County, Virginia	USS Constitution, Boston, MA	729479	26780
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	5079239	165660
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Gateway Arch, Washington Avenue, St Louis, MO	1568984	50208
Liberty Bell, 6th Street, Philadelphia, PA	Taliesin, County Road C, Spring Green, Wisconsin	1520502	52001
French Quarter, New Orleans, LA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3655745	115357
Glacier National Park, West Glacier, MT	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2627806	88466
Statue of Liberty, Liberty Island, NYC, NY	Fort Sumter National Monument, Sullivan's Island, SC	1222041	40861
USS Alabama, Battleship Parkway, Mobile, AL	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2109747	70257
Mount Vernon, Fairfax County, Virginia	Fort Snelling, Tower Avenue, Saint Paul, MN	1810094	60656
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Gateway Arch, Washington Avenue, St Louis, MO	879834	29469
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Craters of the Moon National Monument & Preserve, Arco, ID	2302132	74104
Cape Canaveral, FL	Ashfall Fossil Bed, Royal, NE	2651598	86966
Terrace Hill, Grand Avenue, Des Moines, IA	Graceland, Elvis Presley Boulevard, Memphis, TN	1008442	33550
Craters of the Moon National Monument & Preserve, Arco, ID	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2984500	96748
Shelburne Farms, Harbor Road, Shelburne, VT	Cape Canaveral, FL	2212383	74063
Graceland, Elvis Presley Boulevard, Memphis, TN	Wright Brothers National Memorial Visitor Center, Manteo, NC	1513958	50106
Acadia National Park, Maine	Fort Snelling, Tower Avenue, Saint Paul, MN	2666567	90398
New Castle Historic District, Delaware	French Quarter, New Orleans, LA	1900188	62217
Pikes Peak, Colorado	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2110257	72715
The Breakers, Ochre Point Avenue, Newport, RI	Congress Hall, Congress Place, Cape May, NJ 08204	545003	20300
Liberty Bell, 6th Street, Philadelphia, PA	Shelburne Farms, Harbor Road, Shelburne, VT	603814	22908
San Andreas Fault, San Benito County, CA	Bryce Canyon National Park, Hwy 63, Bryce, UT	1153959	39401
Carlsbad Caverns National Park, Carlsbad, NM	Fort Sumter National Monument, Sullivan's Island, SC	2529332	84159
Toltec Mounds, Scott, AR	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3179769	101423
Mount Vernon, Fairfax County, Virginia	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1094658	35633
Columbia River Gorge National Scenic Area, Oregon	Glacier National Park, West Glacier, MT	844416	29826
Graceland, Elvis Presley Boulevard, Memphis, TN	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	622132	20233
Terrace Hill, Grand Avenue, Des Moines, IA	Cape Canaveral, FL	2229372	72962
Taliesin, County Road C, Spring Green, Wisconsin	White House, Pennsylvania Avenue Northwest, Washington, DC	1422941	49023
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Columbia River Gorge National Scenic Area, Oregon	3653599	116971
Olympia Entertainment, Woodward Avenue, Detroit, MI	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	725616	23888
Hanford Site, Benton County, WA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	3685723	118499
Graceland, Elvis Presley Boulevard, Memphis, TN	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	482758	15622
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Hanford Site, Benton County, WA	3007742	95841
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Grand Canyon National Park, Arizona	1966377	66850
Wright Brothers National Memorial Visitor Center, Manteo, NC	Glacier National Park, West Glacier, MT	4052231	135932
Fort Sumter National Monument, Sullivan's Island, SC	Columbia River Gorge National Scenic Area, Oregon	4507989	144600
Graceland, Elvis Presley Boulevard, Memphis, TN	Acadia National Park, Maine	2553219	85419
Yellowstone National Park, WY 82190	Bryce Canyon National Park, Hwy 63, Bryce, UT	962304	36167
The Breakers, Ochre Point Avenue, Newport, RI	New Castle Historic District, Delaware	588702	21933
Terrace Hill, Grand Avenue, Des Moines, IA	Bryce Canyon National Park, Hwy 63, Bryce, UT	1980517	63788
Carlsbad Caverns National Park, Carlsbad, NM	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2081182	70149
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Congress Hall, Congress Place, Cape May, NJ 08204	2857920	94583
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Fort Sumter National Monument, Sullivan's Island, SC	1007099	33020
Terrace Hill, Grand Avenue, Des Moines, IA	Congress Hall, Congress Place, Cape May, NJ 08204	1886282	62465
USS Constitution, Boston, MA	Bryce Canyon National Park, Hwy 63, Bryce, UT	4079429	133189
Hoover Dam, NV	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2492392	79680
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1717447	60333
Liberty Bell, 6th Street, Philadelphia, PA	Mount Vernon, Fairfax County, Virginia	242317	9386
Maryland State House, 100 State Cir, Annapolis, MD 21401	Carlsbad Caverns National Park, Carlsbad, NM	2992105	99733
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	581412	21547
The Breakers, Ochre Point Avenue, Newport, RI	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2284060	75766
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2170327	72448
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Yellowstone National Park, WY 82190	3684032	124272
Congress Hall, Congress Place, Cape May, NJ 08204	Fort Snelling, Tower Avenue, Saint Paul, MN	2033385	68009
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Lost World Caverns, Lewisburg, WV	508306	18411
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2701523	87464
Lost World Caverns, Lewisburg, WV	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4297208	137228
White House, Pennsylvania Avenue Northwest, Washington, DC	New Castle Historic District, Delaware	145742	6395
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Pikes Peak, Colorado	1931715	64442
San Andreas Fault, San Benito County, CA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	3619999	116303
Pikes Peak, Colorado	Gateway Arch, Washington Avenue, St Louis, MO	1390792	46772
